day,temparature9am,Humidity9am,Pressure9am
1,24.3,68,1019.7
2,26.9,80,1012.4
3,23.4,82,1009.5
4,15.5,62,1005.5
5,16.1,68,1018.3
6,16.9,70,1023.8
7,18.2,63,1024.6
8,17,65,1026.2
9,19.5,70,1026.1
10,22.8,82,1024.1
11,25.2,74,1024.4
12,27.3,54,1023.8
13,27.9,62,1022
14,30.9,67,1017.3
15,31.2,45,1018.2
16,32.1,70,1017.9
17,31.2,72,1014.4
18,30,59,1016.4
19,32.3,60,1017.1
20,33.4,61,1018.5
21,33.4,60,1012.4
22,19.4,88,1010.7
23,18.5,91,1014
24,24.3,74,1020.7
25,28.4,85,1022.4
26,26.9,65,1019.7
27,22.2,70,1021
28,28,61,1019.2
29,24.3,69,1019
30,24.1,83,1017.2
31,20.4,82,1015
32,26.3,66,1013.9
33,24.2,72,1007.9
34,26.5,74,1007.3
35,21.8,69,1015
36,26.8,78,1018.8
37,25.8,70,1014.5
38,28.2,76,1014.8
39,29.4,78,1010.8
40,24.8,58,1011.7
41,18.5,60,1018
42,21.5,66,1021.1
43,20.3,70,1021.9
44,27.1,63,1018.1
45,29.9,63,1012.6
46,21.1,93,1010.1
47,21.7,59,1017.6
48,20.9,61,1020.6
49,21,72,1018
50,23.1,97,1015.8
51,29.5,81,1012.9
52,22,92,996.5
53,20.4,59,1009.5
54,24.4,69,1012.8
55,21.7,67,1020.4
56,26.3,63,1023.2
57,26.7,68,1017.3
58,28.3,73,1016.8
59,31.6,65,1017.1
60,35,55,1017.4
61,33.5,44,1019.2
62,34.2,50,1015.8
63,35,43,1012.6
64,23.4,69,1016.8
65,25.3,56,1016.2
66,27.5,69,1011.8
67,34.1,77,1006.6
68,33.9,60,1012.3
69,30.3,77,1015.7
70,29.9,74,1018.5
71,34.2,64,1017.8
72,35.8,56,1011.8
73,35.7,61,1007.6
74,33.8,65,1004
75,22.8,70,1012.3
76,33.8,70,1014.2
77,33.2,58,1008.5
78,25.1,62,1016.8
79,20.4,63,1017.5
80,19.6,92,1008.7
81,24.7,80,1004.9
82,19.9,73,1011.4
83,22.5,55,1018.7
84,24.4,60,1021.6
85,27.8,64,1021.3
86,25.7,67,1020.1
87,28.8,70,1016.5
88,31.3,71,1013.1
89,33.2,60,1013.9
90,33.9,72,1017.4
91,34.9,68,1018
92,27.8,66,1014.6
93,23.8,73,1018.9
94,28.8,71,1018.2
95,29.6,67,1016.7
96,22.6,92,1014.4
97,22.8,88,1010
98,27.4,77,1002.1
99,24.2,76,999.4
100,19.9,75,1007.6
101,20.9,65,1007.7
102,23.1,66,1013.6
103,26,74,1016.1
104,24.2,95,1010.8
105,18.2,81,1010
106,24.2,63,1017.5
107,25.2,69,1020.2
108,26.1,71,1022.9
109,24.1,64,1025.2
110,25.8,72,1021.3
111,27.1,69,1017.6
112,28.9,78,1012.2
113,24.8,88,1011.8
114,28.6,78,1008.3
115,25.1,57,1007.4
116,23.8,54,1007.9
117,25.9,70,1016.4
118,28.2,74,1017.6
119,27.6,74,1013.6
120,17.3,74,1010
121,18.4,58,1015.5
122,21.8,60,1020.8
123,24.4,65,1026.3
124,27.3,78,1025.4
125,28.2,72,1021.1
126,27.6,69,1025.5
127,31.8,76,1023.9
128,29.2,56,1021.6
129,27.4,79,1024.7
130,27.8,66,1024.8
131,31.7,74,1024.9
132,34.7,50,1022.8
133,31.7,80,1021.6
134,33.1,91,1020.9
135,33.8,57,1022.6
136,35.2,47,1022.5
137,32.3,44,1024.3
138,30.2,73,1024.3
139,29.9,76,1022.7
140,26.2,59,1022.1
141,29.3,76,1013.8
142,14.8,77,1017.4
143,19.6,71,1023.6
144,24.9,76,1023.2
145,22.4,89,1018.7
146,17.4,94,1010.2
147,20.2,76,1007.9
148,18.3,80,1014.8
149,18.2,78,1017.4
150,18.5,90,1015.1
151,18.9,60,1011.2
152,18.8,54,1012.7
153,21.8,72,1023.9
154,23.3,90,1018
155,14.3,68,1010.3
156,18.9,77,1021.2
157,21.4,76,1025.2
158,21.8,70,1028
159,20.5,66,1027.8
160,18.9,68,1028.2
161,19.5,69,1025.7
162,22.9,82,1023.1
163,23.4,72,1021
164,24.1,75,1019.2
165,19.8,96,1018.4
166,18,70,1020.8
167,20.7,66,1027.2
168,19.3,65,1027.9
169,21,77,1027.2
170,19.7,58,1027.3
171,16.1,69,1029.5
172,18.7,66,1028.2
173,20.6,77,1024.8
174,18.9,79,1025.8
175,19,74,1025.5
176,21.2,82,1023.7
177,20.9,84,1019.9
178,21.7,99,1011.9
179,18.7,68,1003.2
180,11.3,75,1006.3
181,13.8,69,1020.6
182,14.8,80,1024.2
183,13.8,67,1020.6
184,17.3,81,1020
185,17.1,74,1020.8
186,16.7,76,1022.7
187,19,76,1019.8
188,16.8,70,1018
189,17.6,73,1015.8
190,18.1,80,1021.4
191,21,78,1023.2
192,20.9,80,1023.2
193,17.4,80,1024.4
194,19.2,73,1024.2
195,19,87,1024.7
196,18.6,84,1024.4
197,17.9,80,1023.5
198,16,88,1017.7
199,12.3,68,1006.3
200,14.1,71,1008.4
201,18.1,85,1017.8
202,17,99,1021.9
203,17.4,81,1024.5
204,14.7,74,1030.4
205,14.8,81,1028.5
206,14.5,74,1026.7
207,17.5,81,1025.5
208,18.5,99,1026.6
209,18.1,93,1025.7
210,16.8,91,1027.2
211,17.5,92,1032.1
212,18,83,1033.2
213,18.5,84,1030.2
214,14,99,1032.3
215,15.7,85,1030.3
216,14.4,99,1028.5
217,15.1,78,1028.2
218,15.1,84,1025.9
219,16.7,74,1025.2
220,15.5,86,1027.6
221,14.5,76,1034.3
222,16.3,75,1031.4
223,13.7,97,1027.8
224,15,90,1022.9
225,16.4,86,1023.7
226,13,82,1013.7
227,11.8,73,1025.7
228,14.7,72,1029
229,16.9,78,1027.8
230,15.5,80,1028.6
231,15.5,97,1026.7
232,15.9,95,1022.5
233,11.7,91,1021.2
234,13.9,99,1023
235,14,74,1026.4
236,12.9,92,1025.1
237,13,95,1028.2
238,12.6,75,1026.3
239,11.8,81,1018.7
240,14.3,71,1027.8
241,14.8,90,1029.1
242,16,84,1024.6
243,15.4,53,1017.2
244,11.7,73,1012.1
245,13.1,62,1013.5
246,11.5,82,1024.3
247,12,80,1030.5
248,14.2,81,1032.9
249,14,86,1030
250,11.1,99,1024.4
251,9.5,93,1021.6
252,8.8,95,1020
253,8.7,83,1014.6
254,8.4,76,1016.7
255,11.1,87,1027.1
256,11,92,1024.4
257,16.5,93,1021.8
258,13.6,83,1023
259,12.8,99,1024.1
260,11.5,99,1019.7
261,10.6,75,1010.8
262,11.6,71,1016.7
263,11,92,1014.4
264,11.6,78,1006.9
265,11.6,68,1025.7
266,11.2,76,1033.5
267,12.2,82,1032.2
268,12.9,92,1025.7
269,11.3,88,1020
270,9.7,92,1013.8
271,10.7,74,1014.1
272,12.2,69,1020.9
273,12.2,84,1018.3
274,14.1,81,1017.3
275,9.7,64,1005.1
276,11.5,67,1013.9
277,12.8,70,1021.2
278,12.3,81,1020.9
279,10.9,78,1020.8
280,14.1,67,1018.2
281,11.1,89,1018.4
282,12.5,69,1019.8
283,9.6,76,1022.4
284,7.6,92,1014.8
285,9.3,72,1017.4
286,10.4,69,1021.3
287,12.2,58,1024.2
288,10.7,59,1022.2
289,14.7,54,1014.7
290,14.2,52,1012.7
291,11.6,59,1023.3
292,12.5,89,1025.2
293,13.1,94,1029.6
294,14,60,1027.3
295,14.1,50,1021.4
296,12.2,66,1018.5
297,11.6,49,1025.9
298,14.4,64,1031
299,14.2,82,1030.2
300,17.3,77,1023.9
301,15.1,57,1027.7
302,14.7,60,1029.9
303,16.2,74,1027.6
304,16.3,81,1023.7
305,17.2,89,1011.2
306,14.8,60,1023.2
307,16.7,69,1027
308,12.1,69,1033.6
309,11.3,65,1035.7
310,12.4,79,1027.3
311,16.1,63,1019.7
312,16.7,84,1018.1
313,15.5,79,1020.6
314,14.7,53,1025.8
315,15.2,62,1022.8
316,16.6,68,1018.8
317,21.6,44,1014.6
318,25.5,47,1015.3
319,19.4,71,1007.3
320,19.7,63,1009.1
321,13.2,53,1017
322,14.1,69,1026.7
323,18,82,1021
324,23.3,54,1016.4
325,23.3,46,1012.5
326,19.5,42,1018.7
327,21.9,51,1012.1
328,16.2,73,1016.7
329,17.3,67,1030.5
330,18.7,70,1032.2
331,20.9,48,1025.4
332,25.7,62,1022.8
333,24.3,36,1010.5
334,18.9,41,1015.2
335,16.8,52,1019.8
336,20.6,56,1020.8
337,27.6,44,1017.7
338,28.9,44,1016.3
339,20.7,94,1015.5
340,21.3,79,1018.1
341,18,65,1009.5
342,16,68,1016.8
343,17.9,72,1019.1
344,20,69,1026.2
345,22,82,1028.8
346,22.4,70,1027.8
347,23.9,67,1025.8
348,26.1,56,1020.9
349,21.1,82,1019.2
350,19.6,71,1022.3
351,21,73,1025.7
352,24.1,73,1024.5
353,24.7,80,1025.7
354,28.5,66,1024.1
355,27.4,60,1021.4
356,20.6,54,1022.3
357,15,43,1023.4
358,18,47,1026.6
359,20.7,71,1023.2
360,25.5,57,1018.8
361,26.1,45,1017.6
362,30.7,38,1016.1
363,28.4,45,1020
364,19.9,63,1024
365,26.9,69,1021
366,30.2,43,1009.6
